TÍTULO,CLAVE DE REGIÓN HIDROLÓGICA,NOMBRE DE REGIÓN HIDROLÓGICA,ESTADO,NOMBRE DE ESTADO,MUNICIPIO(S),CLAVE DE CUENCA HIDROLÓGICA,NOMBRE DE CUENCA HIDROLÓGICA,VOLUMEN ANUAL EN m3 ,FUENTE,AFLUENTE,NÚMERO DE ANEXO
08COL405301/16ATGC99,16,ARMERÍA-COAHUAYANA,6,COLIMA,"COLIMA, COQUIMATLÁN, VILLA DE ÁLVAREZ Y COMALA",259,ARMERÍA,265690000.00,RÍO ARMERÍA (PRESA DERIVADORA PEÑITAS),RÍO ARMERÍA,2
08COL405302/16ATGC99,16,ARMERÍA-COAHUAYANA,6,COLIMA,COQUIMATLÁN,259,ARMERÍA,48160000.00,RÍO ARMERÍA,RÍO ARMERÍA,1
08COL405303/16ATGC99,16,ARMERÍA-COAHUAYANA,6,COLIMA,TECOMÁN,259,ARMERÍA,114500000.00,RÍO ARMERÍA,RÍO ARMERÍA,1
08COL405304/16ATGC00,16,ARMERÍA-COAHUAYANA,6,COLIMA,TECOMÁN,263,COAHUAYANA 2,146259000.00,SISTEMA RÍO COAHUAYANA - PRESA TROJES,RÍO COAHUAYANA,1
08COL405305/15ATGC00,15,COSTA DE JALISCO,6,COLIMA,MANZANILLO,252,RÍO MARABASCO A,20310000.00,RÍO MARABASCO,RÍO CIHUATLÁN,1
11CHS404602/23ATGC00,23,COSTA DE CHIAPAS,7,CHIAPAS,CACAHOATÁN Y TUXTLA CHICO,403,SUCHIATE,2734000.00,DERIVACIÓN DEL RÍO (PRESA DERIVADORA 11 DE ABRIL),RÍO SUCHIATE,1
11CHS405902/30ATGC00,30,GRIJALVA-USUMACINTA,7,CHIAPAS,SOCOLTENANGO,618,AGUACATENCO,26609000.00,DERIVACIÓN DEL RÍO SAN VICENTE (PRESA DERIVADORA),RÍO SAN VICENTE,1
11CHS405901/30ATGR06,30,GRIJALVA-USUMACINTA,7,CHIAPAS,"LAS ROSAS, Y VENUSTIANO CARRANZA",618,AGUACATENCO,48846000.00,DERIVACIÓN DEL RÍO SALADO (PRESA DERIVADORA),RÍO SALADO,1
11CHS410701/30ATGR06,30,GRIJALVA-USUMACINTA,7,CHIAPAS,FRONTERA - COMALAPA,615,SELEGUA,57766000.00,DERIVACIÓN DEL RÍO SELEGUA (PRESA DERIVADORA SELEGUA),RÍO SELEGUA,1
11CHS410702/30ATGR06,30,GRIJALVA-USUMACINTA,7,CHIAPAS,LA TRINITARIA,615,SELEGUA,25966000.00,DERIVACIÓN DEL RÍO LAGARTERO (PRESA DERIVADORA LAGARTERO),RÍO LAGARTERO,1
