,TÍTULO,NÚMERO DE ANEXO,LONGITUD,LATITUD,TIPO
1883,04GRO113713,1028,-101.7372223888889,-101.7372223888889,SUPERFICIAL
2682,GRO100204,1029,-102.13611647222223,-102.13611647222223,SUPERFICIAL
2683,GRO102225,1030,-99.321668,-99.321668,SUPERFICIAL
2684,GRO102273,1031,-99.5000005,-99.5000005,SUPERFICIAL
2685,GRO102621,1032,-99.31778447222221,-99.31778447222221,SUPERFICIAL
2686,GRO103442,1033,-98.81028177777777,-98.81028177777777,SUPERFICIAL
2687,GRO109847,1034,-99.78194511111111,-99.78194511111111,SUPERFICIAL
2688,GRO112023,1035,-99.54327788888888,-99.54327788888888,SUPERFICIAL
2689,GRO112764,1036,-101.69638955555556,-101.69638955555556,SUPERFICIAL
2690,GRO112771,1037,-101.69777844444445,-101.69777844444445,SUPERFICIAL
2691,GRO112780,1038,-101.69667202777778,-101.69667202777778,SUPERFICIAL
2692,GRO112786,1039,-101.69972322222223,-101.69972322222223,SUPERFICIAL
2693,GRO112947,1040,-101.70833433333334,-101.70833433333334,SUPERFICIAL
2694,GRO113098,1041,-101.69333869444445,-101.69333869444445,SUPERFICIAL
2695,GRO113100,1042,-101.68944980555555,-101.68944980555555,SUPERFICIAL
2696,GRO113185,1043,-101.7000005,-101.7000005,SUPERFICIAL
2697,GRO113269,1044,-101.69666933333333,-101.69666933333333,SUPERFICIAL
2698,GRO113270,1045,-101.70250066666667,-101.70250066666667,SUPERFICIAL
2699,GRO113271,1046,-101.69694477777779,-101.69694477777779,SUPERFICIAL
2700,GRO113273,1047,-101.69861177777778,-101.69861177777778,SUPERFICIAL
2701,GRO113325,1048,-101.69750266666667,-101.69750266666667,SUPERFICIAL
2702,GRO113398,1049,-101.76277777777777,-101.76277777777777,SUPERFICIAL
2703,GRO113401,1050,-101.70138886111111,-101.70138886111111,SUPERFICIAL
2704,GRO113404,1051,-101.71944980555556,-101.71944980555556,SUPERFICIAL
2705,GRO113407,1052,-101.695834,-101.695834,SUPERFICIAL
2706,GRO113428,1053,-99.16389425000001,-99.16389425000001,SUPERFICIAL
2707,GRO113503,1054,-99.43694511111111,-99.43694511111111,SUPERFICIAL
2708,GRO113503,1055,-99.43916866666667,-99.43916866666667,SUPERFICIAL
2709,GRO113599,1056,-100.58472622222222,-100.58472622222222,SUPERFICIAL
2710,GRO113615,1057,-101.68916933333334,-101.68916933333334,SUPERFICIAL
2711,GRO113839,1058,-100.88805622222223,-100.88805622222223,SUPERFICIAL
2712,GRO113955,1059,-99.51222222222222,-99.51222222222222,SUPERFICIAL
2713,GRO113988,1060,-99.46277802777779,-99.46277802777779,SUPERFICIAL
2714,GRO114277,1061,-99.10333380555555,-99.10333380555555,SUPERFICIAL
2715,GRO114798,1062,-100.8695291111111,-100.8695291111111,SUPERFICIAL
2716,GRO114941,1063,-100.89083400000001,-100.89083400000001,SUPERFICIAL
2717,GRO115025,1064,-101.710834,-101.710834,SUPERFICIAL
2750,GUE100114,1065,-99.63335477777778,-99.63335477777778,SUPERFICIAL
2751,GUE100114,1066,-99.96668811111111,-99.96668811111111,SUPERFICIAL
4372,GRO102228,1067,-99.35527908333333,-99.35527908333333,SUPERFICIAL
4373,GRO102231,1068,-99.361668,-99.361668,SUPERFICIAL
4374,GRO102242,1069,-98.509168,-98.509168,SUPERFICIAL
4375,GRO102503,1070,-99.54741702777777,-99.54741702777777,SUPERFICIAL
4376,GRO102992,1071,-99.93250066666667,-99.93250066666667,SUPERFICIAL
4377,GRO103187,1072,-99.49068911111111,-99.49068911111111,SUPERFICIAL
4378,GRO108250,1073,-99.96677241666667,-99.96677241666667,SUPERFICIAL
