,TÍTULO,NÚMERO DE ANEXO,LONGITUD,LATITUD,TIPO
20,811136,0,-102.43083358333334,-102.43083358333334,SUPERFICIAL
55,812457,1,-102.37472272222222,-102.37472272222222,SUPERFICIAL
56,812509,2,-102.73416683333333,-102.73416683333333,SUPERFICIAL
61,812808,3,-102.70527811111111,-102.70527811111111,SUPERFICIAL
317,817135,4,-102.36750033333333,-102.36750033333333,SUPERFICIAL
410,819113,5,-102.44166700000001,-102.44166700000001,SUPERFICIAL
421,819309,6,-102.37222269444443,-102.37222269444443,SUPERFICIAL
422,819310,7,-102.26111127777777,-102.26111127777777,SUPERFICIAL
654,824572,8,-102.33055588888888,-102.33055588888888,SUPERFICIAL
979,830265,9,-102.72944494444445,-102.72944494444445,SUPERFICIAL
1236,834119,10,-102.3402781111111,-102.3402781111111,SUPERFICIAL
1274,835787,11,-102.36691677777777,-102.36691677777777,SUPERFICIAL
1412,837839,12,-102.44166722222222,-102.44166722222222,SUPERFICIAL
1477,838519,13,-102.36020308333333,-102.36020308333333,SUPERFICIAL
1491,839011,14,-102.67416680555556,-102.67416680555556,SUPERFICIAL
1519,839629,15,-102.62583366666667,-102.62583366666667,SUPERFICIAL
1520,839629,16,-102.65638902777778,-102.65638902777778,SUPERFICIAL
1521,839629,17,-102.67194475000001,-102.67194475000001,SUPERFICIAL
1566,840746,18,-102.1269446111111,-102.1269446111111,SUPERFICIAL
1612,841321,19,-102.70750030555556,-102.70750030555556,SUPERFICIAL
1613,841322,20,-102.70466680555556,-102.70466680555556,SUPERFICIAL
1631,841608,21,-102.36691677777777,-102.36691677777777,SUPERFICIAL
1774,843100,22,-102.00111261111111,-102.00111261111111,SUPERFICIAL
1787,843386,23,-102.69194461111111,-102.69194461111111,SUPERFICIAL
1791,843599,24,-102.30833505555556,-102.30833505555556,SUPERFICIAL
1802,843697,25,-102.40694444444445,-102.40694444444445,SUPERFICIAL
2038,08AGS100253,26,-102.37222255555555,-102.37222255555555,SUPERFICIAL
2039,08AGS102400,27,-102.30472483333332,-102.30472483333332,SUPERFICIAL
2040,08AGS102710,28,-102.406667,-102.406667,SUPERFICIAL
2041,08AGS105229,29,-102.37250802777777,-102.37250802777777,SUPERFICIAL
2042,08AGS105409,30,-102.69361144444444,-102.69361144444444,SUPERFICIAL
2043,08AGS105443,31,-102.34861161111111,-102.34861161111111,SUPERFICIAL
2044,08AGS105545,32,-102.33250016666666,-102.33250016666666,SUPERFICIAL
2045,08AGS105838,33,-102.25527775,-102.25527775,SUPERFICIAL
2046,08AGS106715,34,-101.87305588888889,-101.87305588888889,SUPERFICIAL
2047,08AGS106732,35,-102.37916733333333,-102.37916733333333,SUPERFICIAL
2336,AGS100031,36,-102.72111138888889,-102.72111138888889,SUPERFICIAL
2337,AGS100034,37,-102.36277794444445,-102.36277794444445,SUPERFICIAL
2338,AGS100034,38,-102.36444461111111,-102.36444461111111,SUPERFICIAL
2339,AGS100034,39,-102.36833349999999,-102.36833349999999,SUPERFICIAL
2340,AGS100066,40,-102.70222266666667,-102.70222266666667,SUPERFICIAL
2341,AGS101144,41,-102.70611161111111,-102.70611161111111,SUPERFICIAL
2342,AGS101299,42,-102.33805572222222,-102.33805572222222,SUPERFICIAL
2343,AGS101484,43,-102.75583366666666,-102.75583366666666,SUPERFICIAL
2344,AGS101514,44,-102.26527827777778,-102.26527827777778,SUPERFICIAL
2345,AGS101697,45,-102.46722222222222,-102.46722222222222,SUPERFICIAL
2346,AGS101697,46,-102.46422238888889,-102.46422238888889,SUPERFICIAL
2347,AGS102004,47,-102.55749997222222,-102.55749997222222,SUPERFICIAL
2348,AGS102070,48,-102.69777811111112,-102.69777811111112,SUPERFICIAL
2349,AGS102304,49,-101.89638902777779,-101.89638902777779,SUPERFICIAL
2350,AGS102368,50,-102.74694494444445,-102.74694494444445,SUPERFICIAL
2351,AGS102401,51,-102.73027791666667,-102.73027791666667,SUPERFICIAL
2352,AGS102482,52,-102.74527783333333,-102.74527783333333,SUPERFICIAL
2353,AGS102584,53,-102.10583347222222,-102.10583347222222,SUPERFICIAL
2354,AGS103063,54,-102.79305566666666,-102.79305566666666,SUPERFICIAL
2355,AGS103077,55,-102.7769446111111,-102.7769446111111,SUPERFICIAL
2356,AGS104780,56,-102.4413888888889,-102.4413888888889,SUPERFICIAL
2357,AGS104814,57,-102.76138905555555,-102.76138905555555,SUPERFICIAL
2358,AGS105048,58,-102.69638933333334,-102.69638933333334,SUPERFICIAL
2359,AGS105296,59,-102.54305577777778,-102.54305577777778,SUPERFICIAL
2360,AGS105328,60,-102.28583366666666,-102.28583366666666,SUPERFICIAL
2361,AGS105334,61,-102.69111161111111,-102.69111161111111,SUPERFICIAL
2362,AGS105334,62,-102.6913893888889,-102.6913893888889,SUPERFICIAL
2363,AGS105343,63,-102.29444527777778,-102.29444527777778,SUPERFICIAL
2364,AGS105405,64,-102.72500033333334,-102.72500033333334,SUPERFICIAL
2365,AGS105405,65,-102.72666683333334,-102.72666683333334,SUPERFICIAL
2366,AGS105495,66,-102.28722255555556,-102.28722255555556,SUPERFICIAL
2367,AGS105563,67,-102.32027944444444,-102.32027944444444,SUPERFICIAL
2368,AGS105583,68,-102.37777794444443,-102.37777794444443,SUPERFICIAL
2369,AGS105603,69,-102.83111144444445,-102.83111144444445,SUPERFICIAL
2370,AGS105630,70,-102.40250016666667,-102.40250016666667,SUPERFICIAL
2371,AGS105642,71,-102.35416699999999,-102.35416699999999,SUPERFICIAL
2372,AGS105902,72,-102.36664022222222,-102.36664022222222,SUPERFICIAL
2373,AGS105962,73,-102.70388922222223,-102.70388922222223,SUPERFICIAL
2374,AGS105985,74,-102.26444461111112,-102.26444461111112,SUPERFICIAL
2375,AGS105998,75,-102.2919446111111,-102.2919446111111,SUPERFICIAL
2376,AGS106037,76,-102.41666827777779,-102.41666827777779,SUPERFICIAL
2377,AGS106116,77,-102.32111144444444,-102.32111144444444,SUPERFICIAL
2378,AGS106135,78,-102.73694477777778,-102.73694477777778,SUPERFICIAL
2379,AGS106146,79,-102.75525083333333,-102.75525083333333,SUPERFICIAL
2380,AGS106197,80,-102.70750030555556,-102.70750030555556,SUPERFICIAL
2381,AGS107018,81,-102.75991666666667,-102.75991666666667,SUPERFICIAL
2382,AGS153361,82,-102.36166680555554,-102.36166680555554,SUPERFICIAL
4361,AGS105340,83,-102.74639055555555,-102.74639055555555,SUPERFICIAL
4362,AGS105522,84,-102.66472383333334,-102.66472383333334,SUPERFICIAL
4363,AGS107051,85,-101.89361127777778,-101.89361127777778,SUPERFICIAL
4407,AGS101134,86,-102.75722272222222,-102.75722272222222,SUPERFICIAL
4408,AGS101147,87,-102.72889033333334,-102.72889033333334,SUPERFICIAL
4409,AGS102397,88,-102.36611269444444,-102.36611269444444,SUPERFICIAL
4410,AGS105168,89,-102.03111294444444,-102.03111294444444,SUPERFICIAL
4411,AGS105650,90,-102.30833347222222,-102.30833347222222,SUPERFICIAL
4412,AGS105657,91,-102.17305702777779,-102.17305702777779,SUPERFICIAL
4413,AGS105694,92,-102.72972377777778,-102.72972377777778,SUPERFICIAL
4414,AGS107068,93,-101.91500016666667,-101.91500016666667,SUPERFICIAL
4506,3AGS101626/12ADGE95,94,-102.35472222222222,-102.35472222222222,SUPERFICIAL
4507,3AGS102485/12IDGE97,95,-102.28388888888888,-102.28388888888888,SUPERFICIAL
4508,3AGS102485/12IDGE97,96,-102.29472222222222,-102.29472222222222,SUPERFICIAL
4509,3AGS102485/12IDGE97,97,-102.31611111111111,-102.31611111111111,SUPERFICIAL
4510,3AGS102485/12IDGE97,98,-102.32777777777777,-102.32777777777777,SUPERFICIAL
4511,3AGS101625/12ADGE95,99,-102.7575,-102.7575,SUPERFICIAL
48,812180,100,-115.57167738888889,-115.57167738888889,SUPERFICIAL
62,812902,101,-116.66444477777779,-116.66444477777779,SUPERFICIAL
121,814727,102,-115.13277808333332,-115.13277808333332,SUPERFICIAL
122,814728,103,-115.15055586111112,-115.15055586111112,SUPERFICIAL
123,814775,104,-115.86611141666666,-115.86611141666666,SUPERFICIAL
137,815028,105,-115.58333383333333,-115.58333383333333,SUPERFICIAL
139,815041,106,-115.58416716666666,-115.58416716666666,SUPERFICIAL
140,815061,107,-115.57500033333334,-115.57500033333334,SUPERFICIAL
141,815119,108,-115.38222222222221,-115.38222222222221,SUPERFICIAL
163,815477,109,-115.42916777777778,-115.42916777777778,SUPERFICIAL
164,815478,110,-115.466667,-115.466667,SUPERFICIAL
178,815603,111,-115.14138919444446,-115.14138919444446,SUPERFICIAL
285,816621,112,-115.96361138888889,-115.96361138888889,SUPERFICIAL
302,816812,113,-115.95833380555555,-115.95833380555555,SUPERFICIAL
452,821061,114,-115.84472255555555,-115.84472255555555,SUPERFICIAL
453,821064,115,-115.89277833333334,-115.89277833333334,SUPERFICIAL
752,825521,116,-115.63944469444445,-115.63944469444445,SUPERFICIAL
781,825679,117,-115.62027827777777,-115.62027827777777,SUPERFICIAL
1043,832124,118,-116.48138933333334,-116.48138933333334,SUPERFICIAL
1069,832377,119,-115.706667,-115.706667,SUPERFICIAL
1070,832385,120,-116.48472255555555,-116.48472255555555,SUPERFICIAL
1071,832389,121,-115.72666719444445,-115.72666719444445,SUPERFICIAL
1072,832395,122,-115.7180565,-115.7180565,SUPERFICIAL
1073,832405,123,-115.85777816666666,-115.85777816666666,SUPERFICIAL
1074,832405,124,-115.8552785,-115.8552785,SUPERFICIAL
1075,832409,125,-116.49472255555555,-116.49472255555555,SUPERFICIAL
1259,835482,126,-115.98638905555556,-115.98638905555556,SUPERFICIAL
1353,837354,127,-116.546667,-116.546667,SUPERFICIAL
1434,838178,128,-116.45888916666667,-116.45888916666667,SUPERFICIAL
1439,838267,129,-116.47333361111112,-116.47333361111112,SUPERFICIAL
1468,838461,130,-116.04558341666666,-116.04558341666666,SUPERFICIAL
1469,838483,131,-116.47055575,-116.47055575,SUPERFICIAL
1483,838704,132,-116.42833350000001,-116.42833350000001,SUPERFICIAL
1484,838724,133,-113.80500022222222,-113.80500022222222,SUPERFICIAL
1512,839453,134,-116.41750033333334,-116.41750033333334,SUPERFICIAL
1516,839605,135,-116.42472255555556,-116.42472255555556,SUPERFICIAL
1518,839627,136,-116.53250002777777,-116.53250002777777,SUPERFICIAL
1527,839768,137,-116.420001,-116.420001,SUPERFICIAL
1528,839944,138,-116.13069461111111,-116.13069461111111,SUPERFICIAL
1546,840246,139,-116.49611125,-116.49611125,SUPERFICIAL
1617,841413,140,-116.60638919444443,-116.60638919444443,SUPERFICIAL
1670,842068,141,-115.7611111111111,-115.7611111111111,SUPERFICIAL
1671,842115,142,-116.49194452777778,-116.49194452777778,SUPERFICIAL
1675,842154,143,-116.6675,-116.6675,SUPERFICIAL
1676,842183,144,-116.68472222222222,-116.68472222222222,SUPERFICIAL
1677,842189,145,-116.70194644444445,-116.70194644444445,SUPERFICIAL
1678,842191,146,-116.69055575,-116.69055575,SUPERFICIAL
1687,842232,147,-115.73111111111112,-115.73111111111112,SUPERFICIAL
1719,842479,148,-116.04805558333334,-116.04805558333334,SUPERFICIAL
1731,842770,149,-115.90777794444445,-115.90777794444445,SUPERFICIAL
1732,842780,150,-116.09222272222222,-116.09222272222222,SUPERFICIAL
1734,842829,151,-116.56452794444444,-116.56452794444444,SUPERFICIAL
1737,842873,152,-116.066667,-116.066667,SUPERFICIAL
1745,815481,153,-115.85888919444444,-115.85888919444444,SUPERFICIAL
1762,842831,154,-116.44055572222223,-116.44055572222223,SUPERFICIAL
1770,843039,155,-116.15472258333334,-116.15472258333334,SUPERFICIAL
1784,843309,156,-115.9625,-115.9625,SUPERFICIAL
1789,843448,157,-115.61666683333333,-115.61666683333333,SUPERFICIAL
1790,843448,158,-115.6175003611111,-115.6175003611111,SUPERFICIAL
1793,843658,159,-115.85722233333333,-115.85722233333333,SUPERFICIAL
1794,843661,160,-115.73277794444445,-115.73277794444445,SUPERFICIAL
1796,843683,161,-116.27194461111111,-116.27194461111111,SUPERFICIAL
1797,843684,162,-115.91250016666667,-115.91250016666667,SUPERFICIAL
1798,843691,163,-116.16666686111111,-116.16666686111111,SUPERFICIAL
1799,843692,164,-116.4683335,-116.4683335,SUPERFICIAL
1800,843693,165,-116.40305577777778,-116.40305577777778,SUPERFICIAL
1801,843694,166,-116.10000027777777,-116.10000027777777,SUPERFICIAL
1805,843713,167,-116.4088888888889,-116.4088888888889,SUPERFICIAL
1808,843804,168,-116.30725,-116.30725,SUPERFICIAL
1809,843804,169,-116.31072222222222,-116.31072222222222,SUPERFICIAL
1810,843804,170,-116.30624999999999,-116.30624999999999,SUPERFICIAL
1811,843804,171,-116.28291666666667,-116.28291666666667,SUPERFICIAL
1812,843804,172,-116.28650061111111,-116.28650061111111,SUPERFICIAL
1816,843876,173,-116.00388905555556,-116.00388905555556,SUPERFICIAL
1820,844011,174,-115.89666683333334,-115.89666683333334,SUPERFICIAL
1821,844018,175,-115.93694461111112,-115.93694461111112,SUPERFICIAL
1823,844028,176,-116.26805563888888,-116.26805563888888,SUPERFICIAL
1824,844029,177,-115.67972236111112,-115.67972236111112,SUPERFICIAL
1825,844042,178,-116.27388905555556,-116.27388905555556,SUPERFICIAL
1827,844096,179,-115.81638905555555,-115.81638905555555,SUPERFICIAL
1829,844128,180,-116.48083555555556,-116.48083555555556,SUPERFICIAL
1830,01BCA102855,181,-116.46111161111111,-116.46111161111111,SUPERFICIAL
1831,01BCA104918,182,-115.86250019444444,-115.86250019444444,SUPERFICIAL
1832,01BCA105470,183,-115.76611177777778,-115.76611177777778,SUPERFICIAL
1833,01BCA105605,184,-116.04000033333332,-116.04000033333332,SUPERFICIAL
1834,01BCA105794,185,-116.26861122222222,-116.26861122222222,SUPERFICIAL
1835,01BCA105893,186,-116.64250027777778,-116.64250027777778,SUPERFICIAL
1836,01BCA106933,187,-115.86555588888888,-115.86555588888888,SUPERFICIAL
1837,01BCA106935,188,-115.86777833333333,-115.86777833333333,SUPERFICIAL
1838,01BCA106936,189,-115.65583361111112,-115.65583361111112,SUPERFICIAL
1839,01BCA107050,190,-115.58777791666667,-115.58777791666667,SUPERFICIAL
1840,01BCA107052,191,-115.59916708333333,-115.59916708333333,SUPERFICIAL
1841,01BCA107359,192,-116.02750033333334,-116.02750033333334,SUPERFICIAL
1842,01BCA107632,193,-116.1730558888889,-116.1730558888889,SUPERFICIAL
1843,01BCA109289,194,-116.07102841666666,-116.07102841666666,SUPERFICIAL
1844,01BCA110072,195,-116.51444477777778,-116.51444477777778,SUPERFICIAL
1845,01BCA110072,196,-116.51444494444445,-116.51444494444445,SUPERFICIAL
1846,01BCA110269,197,-116.36436111111111,-116.36436111111111,SUPERFICIAL
1847,01BCA110278,198,-116.40677777777779,-116.40677777777779,SUPERFICIAL
1848,01BCA150460,199,-115.57658380555556,-115.57658380555556,SUPERFICIAL
41,811814,200,-110.21377827777778,-110.21377827777778,SUPERFICIAL
60,812796,201,-110.94972272222222,-110.94972272222222,SUPERFICIAL
115,814559,202,-111.51944577777778,-111.51944577777778,SUPERFICIAL
162,815421,203,-111.36600033333333,-111.36600033333333,SUPERFICIAL
175,815525,204,-111.55416699999999,-111.55416699999999,SUPERFICIAL
184,815794,205,-111.28630580555556,-111.28630580555556,SUPERFICIAL
185,815810,206,-111.26358372222222,-111.26358372222222,SUPERFICIAL
188,815898,207,-111.25894494444445,-111.25894494444445,SUPERFICIAL
268,816551,208,-109.84666683333333,-109.84666683333333,SUPERFICIAL
291,816685,209,-111.47433366666667,-111.47433366666667,SUPERFICIAL
347,817933,210,-111.45847288888889,-111.45847288888889,SUPERFICIAL
431,819513,211,-111.77508358333333,-111.77508358333333,SUPERFICIAL
438,819737,212,-111.49305588888889,-111.49305588888889,SUPERFICIAL
440,819834,213,-111.21916766666666,-111.21916766666666,SUPERFICIAL
487,821846,214,-111.34116663888888,-111.34116663888888,SUPERFICIAL
580,823616,215,-110.01105588888889,-110.01105588888889,SUPERFICIAL
633,824209,216,-111.30555588888889,-111.30555588888889,SUPERFICIAL
703,825246,217,-111.80536177777778,-111.80536177777778,SUPERFICIAL
791,825825,218,-110.06055572222222,-110.06055572222222,SUPERFICIAL
824,826391,219,-109.80194511111111,-109.80194511111111,SUPERFICIAL
1265,835696,220,-111.54444438888889,-111.54444438888889,SUPERFICIAL
1376,837509,221,-110.10138902777777,-110.10138902777777,SUPERFICIAL
1620,841471,222,-110.07922238888888,-110.07922238888888,SUPERFICIAL
1623,841490,223,-110.0341835,-110.0341835,SUPERFICIAL
1625,841529,224,-110.0800835,-110.0800835,SUPERFICIAL
1626,841533,225,-110.08025013888889,-110.08025013888889,SUPERFICIAL
1691,812570,226,-110.0835005,-110.0835005,SUPERFICIAL
1709,841641,227,-110.03397238888888,-110.03397238888888,SUPERFICIAL
1849,01BCS104616,228,-109.51805575,-109.51805575,SUPERFICIAL
1850,01BCS105758,229,-111.4325006388889,-111.4325006388889,SUPERFICIAL
1851,01BCS105761,230,-111.22127844444445,-111.22127844444445,SUPERFICIAL
1852,01BCS105779,231,-111.10250033333332,-111.10250033333332,SUPERFICIAL
2413,BCS101904,232,-109.87277791666666,-109.87277791666666,SUPERFICIAL
2414,BCS103489,233,-112.35825027777777,-112.35825027777777,SUPERFICIAL
2415,BCS103609,234,-112.59027777777777,-112.59027777777777,SUPERFICIAL
2416,BCS103634,235,-113.12361155555556,-113.12361155555556,SUPERFICIAL
2417,BCS103682,236,-112.07500266666666,-112.07500266666666,SUPERFICIAL
2418,BCS103738,237,-112.49166661111111,-112.49166661111111,SUPERFICIAL
2419,BCS103842,238,-112.83027811111111,-112.83027811111111,SUPERFICIAL
2420,BCS103869,239,-112.43750066666666,-112.43750066666666,SUPERFICIAL
2421,BCS104332,240,-112.99800033333334,-112.99800033333334,SUPERFICIAL
2422,BCS104450,241,-112.375,-112.375,SUPERFICIAL
2423,BCS104455,242,-112.32780655555555,-112.32780655555555,SUPERFICIAL
2424,BCS104521,243,-112.39722222222223,-112.39722222222223,SUPERFICIAL
2425,BCS104619,244,-109.51666683333333,-109.51666683333333,SUPERFICIAL
2426,BCS104782,245,-110.14027777777778,-110.14027777777778,SUPERFICIAL
2427,BCS105065,246,-110.04677777777778,-110.04677777777778,SUPERFICIAL
2428,BCS105503,247,-111.27347255555556,-111.27347255555556,SUPERFICIAL
2429,BCS106005,248,-111.60433333333333,-111.60433333333333,SUPERFICIAL
2430,BCS153750,249,-110.0633611111111,-110.0633611111111,SUPERFICIAL
6450,01BCS100672/03AMDL08,250,0.0,0.0,SUPERFICIAL
6451,01BCS101035/03IOGE02,251,-110.28166666666667,-110.28166666666667,SUPERFICIAL
6452,01BCS101038/06GOOC08,252,-110.0111111111111,-110.0111111111111,SUPERFICIAL
6453,01BCS101752/03HMGR97,253,-111.80833333333334,-111.80833333333334,SUPERFICIAL
6454,01BCS101752/03HMGR97,254,-112.02583333333334,-112.02583333333334,SUPERFICIAL
6455,01BCS101752/03HMGR97,255,-112.02388888888889,-112.02388888888889,SUPERFICIAL
6456,01BCS101752/03HMGR97,256,-111.80833333333334,-111.80833333333334,SUPERFICIAL
6457,01BCS102131/03GOOC08,257,-111.00277777777778,-111.00277777777778,SUPERFICIAL
6458,01BCS102176/06GODL09,258,-110.0625,-110.0625,SUPERFICIAL
6459,01BCS102176/06GODL09,259,-110.08333333333333,-110.08333333333333,SUPERFICIAL
6460,01BCS102178/06GODL08,260,-109.91722222222222,-109.91722222222222,SUPERFICIAL
6461,01BCS102214/03AODL08,261,-110.99194444444444,-110.99194444444444,SUPERFICIAL
6462,01BCS102215/06GODL08,262,-110.06527777777778,-110.06527777777778,SUPERFICIAL
6463,01BCS102245/03GOGE97,263,-110.05,-110.05,SUPERFICIAL
6464,01BCS102335/03AHDL08,264,-110.97333333333333,-110.97333333333333,SUPERFICIAL
6465,01BCS102335/03AHDL08,265,-110.9738888888889,-110.9738888888889,SUPERFICIAL
6466,01BCS102335/03AHDL08,266,-110.97333333333333,-110.97333333333333,SUPERFICIAL
6467,01BCS102335/03AHDL08,267,-110.97500000000001,-110.97500000000001,SUPERFICIAL
6468,01BCS102335/03AHDL08,268,-110.97,-110.97,SUPERFICIAL
6469,01BCS102418/06HSGR97,269,-111.08111111111111,-111.08111111111111,SUPERFICIAL
6470,01BCS102468/06HBGR03,270,-109.80833333333334,-109.80833333333334,SUPERFICIAL
6471,01BCS102486/06IODL09,271,-110.88333333333334,-110.88333333333334,SUPERFICIAL
6472,01BCS102498/02IODL08,272,-113.15972222222223,-113.15972222222223,SUPERFICIAL
6473,01BCS102499/02GODL08,273,-113.15611111111112,-113.15611111111112,SUPERFICIAL
6474,01BCS102500/02IODL08,274,-113.06194444444444,-113.06194444444444,SUPERFICIAL
6475,01BCS102506/06IOGE97,275,-109.78055555555555,-109.78055555555555,SUPERFICIAL
6476,01BCS102628/06GODL08,276,-110.20333333333333,-110.20333333333333,SUPERFICIAL
6477,01BCS102758/06IHDL09,277,-111.45833333333334,-111.45833333333334,SUPERFICIAL
6478,01BCS102769/03IODL09,278,-111.48472222222222,-111.48472222222222,SUPERFICIAL
6479,01BCS102770/03IODL09,279,-111.48583333333333,-111.48583333333333,SUPERFICIAL
6480,01BCS102772/03GODL09,280,-111.51666666666667,-111.51666666666667,SUPERFICIAL
6481,01BCS102781/03IODL09,281,-111.43666666666667,-111.43666666666667,SUPERFICIAL
6482,01BCS102782/03IHDL08,282,-111.30555555555556,-111.30555555555556,SUPERFICIAL
6483,01BCS102848/06IOGE98,283,-110.21027777777778,-110.21027777777778,SUPERFICIAL
6484,01BCS102939/06AOGE98,284,-109.78138888888888,-109.78138888888888,SUPERFICIAL
6485,01BCS102941/06IOGE98,285,-109.78361111111111,-109.78361111111111,SUPERFICIAL
6486,01BCS102943/06IOGE98,286,-109.77222222222223,-109.77222222222223,SUPERFICIAL
6487,01BCS102944/06GODL09,287,-111.46666666666667,-111.46666666666667,SUPERFICIAL
6488,01BCS102945/03IODL09,288,-111.43916666666667,-111.43916666666667,SUPERFICIAL
6489,01BCS102946/03IODL08,289,-111.55416666666666,-111.55416666666666,SUPERFICIAL
6490,01BCS102951/03IODL08,290,-111.49222222222222,-111.49222222222222,SUPERFICIAL
6491,01BCS102952/03IODL08,291,-111.51527777777778,-111.51527777777778,SUPERFICIAL
6492,01BCS102967/03AOGE98,292,-110.0125,-110.0125,SUPERFICIAL
6493,01BCS103025/03IHDL08,293,-111.41388888888889,-111.41388888888889,SUPERFICIAL
6494,01BCS103032/03IODL08,294,-111.4088888888889,-111.4088888888889,SUPERFICIAL
6495,01BCS103034/03IOGE98,295,-111.41611111111112,-111.41611111111112,SUPERFICIAL
6496,01BCS103037/03IODL08,296,-111.34472222222222,-111.34472222222222,SUPERFICIAL
6497,01BCS103043/03IODL08,297,-111.42500000000001,-111.42500000000001,SUPERFICIAL
6498,01BCS103048/05IOGE98,298,-112.37972222222221,-112.37972222222221,SUPERFICIAL
6499,01BCS103053/02GODL09,299,-113.23805555555556,-113.23805555555556,SUPERFICIAL
1726,842666,300,-90.38231488888889,-90.38231488888889,SUPERFICIAL
2291,12CAM106485,301,-92.092334,-92.092334,SUPERFICIAL
2292,12CAM154128,302,-91.34314222222221,-91.34314222222221,SUPERFICIAL
6976,6CAM101075/30AAGE95,303,-91.09527777777777,-91.09527777777777,SUPERFICIAL
6977,6CAM101497/30ADGE96,304,-91.875,-91.875,SUPERFICIAL
6978,6CAM101498/30AAGE96,305,-92.06944444444444,-92.06944444444444,SUPERFICIAL
6979,6CAM101498/30AAGE96,306,-92.06944444444444,-92.06944444444444,SUPERFICIAL
6980,6CAM101498/30AAGE96,307,-92.06694444444445,-92.06694444444445,SUPERFICIAL
6981,6CAM101498/30AAGE96,308,-92.06638888888888,-92.06638888888888,SUPERFICIAL
6982,6CAM101498/30AAGE96,309,-92.06444444444445,-92.06444444444445,SUPERFICIAL
6983,6CAM101498/30AAGE96,310,-92.06444444444445,-92.06444444444445,SUPERFICIAL
6984,12CAM101583/30DSGE98,311,-92.06638888888888,-92.06638888888888,SUPERFICIAL
6985,11CAM105320/30IAGE99,312,-92.06377777777777,-92.06377777777777,SUPERFICIAL
6986,12CAM106281/30HAGE01,313,-91.30827777777777,-91.30827777777777,SUPERFICIAL
6987,12CAM107303/30DAGE06,314,-91.06516666666667,-91.06516666666667,SUPERFICIAL
6988,12CAM107609/31IADL07,315,-90.47247222222222,-90.47247222222222,SUPERFICIAL
6989,12CAM108033/30GADA07,316,-91.29230555555556,-91.29230555555556,SUPERFICIAL
6990,12CAM108085/30ADDL08,317,-91.74972222222222,-91.74972222222222,SUPERFICIAL
6991,11CAM107869/30IADA08,318,-91.96805555555555,-91.96805555555555,SUPERFICIAL
6992,12CAM108259/31DFDL08,319,-90.25561111111111,-90.25561111111111,SUPERFICIAL
6993,12CAM102806/30GDGE98,320,-89.96666666666667,-89.96666666666667,SUPERFICIAL
6994,12CAM102917/30IDGE98,321,-90.99972222222222,-90.99972222222222,SUPERFICIAL
6995,12CAM108512/30GFDL09,322,-90.90075,-90.90075,SUPERFICIAL
6996,12CAM108513/30GADL09,323,-90.74847222222222,-90.74847222222222,SUPERFICIAL
6997,12CAM108433/30GSDL08,324,-91.28186111111111,-91.28186111111111,SUPERFICIAL
6998,12CAM108633/30ADDL09,325,-91.00222222222222,-91.00222222222222,SUPERFICIAL
6999,12CAM108634/30AADL09,326,-90.68297222222223,-90.68297222222223,SUPERFICIAL
7000,12CAM108768/31GDDL09,327,-89.186,-89.186,SUPERFICIAL
7001,12CAM108770/31GADL09,328,-90.6846388888889,-90.6846388888889,SUPERFICIAL
7002,12CAM108771/30ISDL09,329,-91.59527777777777,-91.59527777777777,SUPERFICIAL
7003,12CAM108615/30IADL09,330,-90.67266666666667,-90.67266666666667,SUPERFICIAL
7004,11CAM104136/30GAGE99,331,-92.12347222222222,-92.12347222222222,SUPERFICIAL
7005,12CAM103338/30GDGE99,332,-91.06166666666667,-91.06166666666667,SUPERFICIAL
7006,12CAM103473/30GSGE99,333,-91.18630555555556,-91.18630555555556,SUPERFICIAL
7007,12CAM103666/30IDGE99,334,-91.00141666666667,-91.00141666666667,SUPERFICIAL
7008,12CAM103667/30IDGE99,335,-90.98952777777778,-90.98952777777778,SUPERFICIAL
7009,12CAM103774/30ISGE99,336,-91.00119444444445,-91.00119444444445,SUPERFICIAL
7010,12CAM103776/30GOGE99,337,-91.00241666666666,-91.00241666666666,SUPERFICIAL
7011,12CAM104202/30GAGE99,338,-91.10111111111111,-91.10111111111111,SUPERFICIAL
7012,12CAM104350/31ISGE99,339,-90.82291666666666,-90.82291666666666,SUPERFICIAL
7013,12CAM104510/30GAGE99,340,-91.0893611111111,-91.0893611111111,SUPERFICIAL
7014,11CAM102900/30IAGE98,341,-92.11638888888888,-92.11638888888888,SUPERFICIAL
7015,12CAM104447/30GAGE99,342,-91.09025,-91.09025,SUPERFICIAL
7016,12CAM104480/30GAGE99,343,-91.10527777777777,-91.10527777777777,SUPERFICIAL
7017,12CAM105078/30GAGE99,344,-91.13816666666668,-91.13816666666668,SUPERFICIAL
7018,12CAM105079/30GAGE99,345,-91.11338888888888,-91.11338888888888,SUPERFICIAL
7019,12CAM103939/30GAGE99,346,-90.86888888888888,-90.86888888888888,SUPERFICIAL
7020,12CAM108769/31GDDL09,347,-89.37330555555555,-89.37330555555555,SUPERFICIAL
7021,12CAM103668/30IDGE99,348,-91.22055555555556,-91.22055555555556,SUPERFICIAL
7022,12CAM103708/30IDGE99,349,-90.5436111111111,-90.5436111111111,SUPERFICIAL
7023,12CAM103045/30GAGE98,350,-90.81575,-90.81575,SUPERFICIAL
7024,12CAM103709/30IFGE99,351,-90.78294444444444,-90.78294444444444,SUPERFICIAL
