NÚMERO DE ANEXO,TÍTULO,VOLUMEN DE DESCARGA ANUAL EN M3,VOLUMEN DE DESCARGA DIARIO EN M3,FECHA
23622,04TLX150111/18HMDL18,70488.93,193.12,2022-05-22
23623,04TLX150111/18HMDL18,19913.04,54.56,2022-05-22
23624,04TLX150111/18HMDL18,10557.18,28.92,2022-05-22
23625,04TLX150111/18HMDL18,5886.18,16.13,2022-05-22
23626,04TLX150111/18HMDL18,45855.75,125.63,2022-05-22
23627,04TLX150111/18HMDL18,32027.64,87.75,2022-05-22
23628,04TLX150111/18HMDL18,5251.26,14.39,2022-05-22
23629,04TLX150111/18HMDL18,1236.54,3.39,2022-05-22
23630,04TLX150111/18HMDL18,6310.08,17.29,2022-05-22
23631,04TLX150111/18HMDL18,499802.12,1369.32,2022-05-22
23632,04TLX150111/18HMDL18,146935.57,402.56,2022-05-22
23633,04TLX150111/18HMDL18,3254.34,8.92,2022-05-22
23634,04TLX150111/18HMDL18,4319.76,11.83,2022-05-22
23635,04TLX150111/18HMDL18,13459.89,36.88,2022-05-22
23636,04TLX150121/18FMDL18,172681.5,473.1,2022-05-22
23637,04TLX150121/18FMDL18,50457.6,138.24,2022-05-22
23638,04TLX150135/18EMDL18,10072.26,27.6,2022-05-22
23639,04TLX150194/18EMDL18,1474.7,5.85,2022-05-22
23640,04TLX150194/18EMDL18,1146.1,4.55,2022-05-22
23641,04TLX150196/18HMDL18,2441.85,6.69,2022-05-22
23642,04TLX150196/18HMDL18,27119.5,74.3,2022-05-22
23643,04TLX150196/18HMDL18,31536.0,86.4,2022-05-22
23644,04TLX150196/18HMDL18,30116.15,82.51,2022-05-22
23645,04TLX150196/18HMDL18,29170.8,79.92,2022-05-22
23646,04TLX150196/18HMDL18,66446.43,182.05,2022-05-22
23647,04TLX150196/18HMDL18,18921.6,51.84,2022-05-22
23648,04TLX150196/18HMDL18,29328.48,80.35,2022-05-22
23649,04TLX150196/18HMDL18,24440.0,66.96,2022-05-22
23650,04TLX150202/18HADL18,105120.0,288.0,2022-05-22
23651,04TLX150202/18HADL18,252288.0,691.2,2022-05-22
23652,04TLX150202/18HADL18,315360.0,864.0,2022-05-22
23653,04TLX150202/18HADL18,18250.0,50.0,2022-05-22
23654,04TLX150202/18HADL18,210240.0,576.0,2022-05-22
23655,04TLX150202/18HADL18,31536.0,86.4,2022-05-22
23656,04TLX150203/18HMDL18,1314.0,3.6,2022-05-22
23657,04TLX150203/18HMDL18,1259.25,3.45,2022-05-22
23658,04TLX150203/18HMDL18,66225.6,181.44,2022-05-22
23659,04TLX150203/18HMDL18,4730.4,12.96,2022-05-22
23660,04TLX150203/18HMDL18,42256.05,115.77,2022-05-22
23661,04TLX150203/18HMDL18,1051.2,2.88,2022-05-22
23662,05GRO150084/19EPDL11,2162.0,5.92,2022-05-22
23663,05GRO150176/19EQDL12,1300.0,5.0,2022-05-22
23664,05GRO150178/19FFDL11,150000.0,594.0,2022-05-22
23665,05GRO150191/19ERDL11,10950.0,30.0,2022-05-22
23666,05GRO150517/19ESDL12,29740.0,81.5,2022-05-22
23667,05GRO150558/19EKDL12,2304.72,6.31,2022-05-22
23668,05GRO150562/19ERDL12,4215.0,11.54,2022-05-22
23669,05GRO152199/19EMDL12,6082.0,16.66,2022-05-22
23670,05GRO152231/19IPDL12,548.36,1.79,2022-05-22
23671,05GRO152232/19EMDL12,271560.0,744.0,2022-05-22
23672,05GRO152254/19EQDL12,1252.0,3.43,2022-05-22
23673,05GRO152254/19EQDL12,2505.0,6.86,2022-05-22
23674,05GRO152273/19ERDL12,5635.2,15.44,2022-05-22
23675,05GRO152291/19ERDL12,367302.0,1006.3,2022-05-22
23676,05GRO152318/19EKDL12,4860.0,13.31,2022-05-22
23677,05GRO152319/19ELDL12,1870.8,6.24,2022-05-22
23678,05GRO152340/19ERDL12,200.75,0.55,2022-05-22
23679,05GRO152340/19ERDL12,803.0,2.2,2022-05-22
23680,05GRO152843/19ELDL13,25228.8,69.12,2022-05-22
23681,05GRO152890/19ESDL13,350.4,0.96,2022-05-22
23682,05GRO153086/19ERDL13,10950.0,30.0,2022-05-22
23683,05GRO153087/19EPDL14,156.52,0.43,2022-05-22
23684,05GRO153087/19EPDL14,939.07,2.57,2022-05-22
23685,05GRO153087/19EPDL14,469.53,1.28,2022-05-22
